=========================================================
             VOLCADO DE CACHÉ DE TIA PORTAL              
=========================================================
Fecha de volcado: 10/03/2026 15:40:41
PLC: PLC_C9_ED11
Total Bloques: 651
=========================================================

[Nombre] _borrar                             | [Num] 4     | [Tipo API] GlobalDB     | [Ruta] Root
[Nombre] DB1085_ENV_FERM                     | [Num] 1085  | [Tipo API] GlobalDB     | [Ruta] 1085_EnvioFermentadores\1085_Proceso
[Nombre] DB1090_ENV_FERM_WALDER              | [Num] 1090  | [Tipo API] GlobalDB     | [Ruta] 1090_EnvioFermentadoresWaldner\1090_Proceso
[Nombre] DB1095_ENV_ESTER                    | [Num] 1095  | [Tipo API] GlobalDB     | [Ruta] 1095_EnvioEsterilizador\1095_Proceso
[Nombre] DB1096_ZC_PARO_SECUENCIAL_PETICION  | [Num] 1096  | [Tipo API] InstanceDB   | [Ruta] 1095_EnvioEsterilizador\1095_Proceso
[Nombre] DB1097_MARCHA_PARO_HOMO             | [Num] 1097  | [Tipo API] InstanceDB   | [Ruta] 1095_EnvioEsterilizador\1095_Proceso
[Nombre] DB11_INFORMES                       | [Num] 11    | [Tipo API] GlobalDB     | [Ruta] 11_Informes
[Nombre] DB1100_CIP_ZONA6                    | [Num] 1100  | [Tipo API] GlobalDB     | [Ruta] 1100_CIP_Zona6\1100_Proceso
[Nombre] DB11000_ZC_SEC_GET_DB               | [Num] 11000 | [Tipo API] InstanceDB   | [Ruta] 11000_Comunicaciones
[Nombre] DB11001_GET_PLC_PST1                | [Num] 11001 | [Tipo API] InstanceDB   | [Ruta] 11000_Comunicaciones
[Nombre] DB11003_COM_PLC_C3_ED05             | [Num] 11003 | [Tipo API] GlobalDB     | [Ruta] 11000_Comunicaciones
[Nombre] DB11004_COM_PLANTA                  | [Num] 11004 | [Tipo API] GlobalDB     | [Ruta] 11000_Comunicaciones
[Nombre] DB11005_COM_WALDNER                 | [Num] 11005 | [Tipo API] GlobalDB     | [Ruta] 11000_Comunicaciones
[Nombre] DB11006_ZC_MB_CLIENT_RW             | [Num] 11006 | [Tipo API] InstanceDB   | [Ruta] 11000_Comunicaciones
[Nombre] DB1400_PROD_Z1                      | [Num] 1400  | [Tipo API] GlobalDB     | [Ruta] 1400_Produccion_Z1\1400 Proceso
[Nombre] DB1401_ZC_FASE_HOMO                 | [Num] 1401  | [Tipo API] InstanceDB   | [Ruta] 1400_Produccion_Z1\1400 Proceso
[Nombre] DB1402_ZC_FASE_AD_AGUA              | [Num] 1402  | [Tipo API] InstanceDB   | [Ruta] 1400_Produccion_Z1\1400 Proceso
[Nombre] DB1403_ZC_FASE_CAL_ENF              | [Num] 1403  | [Tipo API] InstanceDB   | [Ruta] 1400_Produccion_Z1\1400 Proceso
[Nombre] DB1404_ZC_FASE_VACIADO              | [Num] 1404  | [Tipo API] InstanceDB   | [Ruta] 1400_Produccion_Z1\1400 Proceso
[Nombre] DB1410_PROD_Z2                      | [Num] 1410  | [Tipo API] GlobalDB     | [Ruta] 1410_Produccion_Z2\1410 Proceso
[Nombre] DB1420_PROD_PECT_Z2                 | [Num] 1420  | [Tipo API] GlobalDB     | [Ruta] 1420_Produccion_Pectina_Z2\1420 Proceso
[Nombre] DB15_SINCRONIZAR_FECHA              | [Num] 15    | [Tipo API] GlobalDB     | [Ruta] 15_Scada
[Nombre] DB1510_GESTION_AIRE_ESTERIL         | [Num] 1510  | [Tipo API] InstanceDB   | [Ruta] 1510_AireEsteril_&_PWG\1510_Proceso
[Nombre] DB1514_GESTION_PWG                  | [Num] 1514  | [Tipo API] GlobalDB     | [Ruta] 1510_AireEsteril_&_PWG\1510_Proceso
[Nombre] DB1530_GESTION_CAMISAS              | [Num] 1530  | [Tipo API] GlobalDB     | [Ruta] 1530_GestionCamisas
[Nombre] DB15994_ZC_INICIALIZAR_DISP         | [Num] 15994 | [Tipo API] InstanceDB   | [Ruta] @FAT
[Nombre] DB15995_ZC_BUSCAR_DIR               | [Num] 15995 | [Tipo API] InstanceDB   | [Ruta] @FAT
[Nombre] DB15996_ZC_INICIALIZAR_ENT          | [Num] 15996 | [Tipo API] InstanceDB   | [Ruta] @FAT
[Nombre] DB16_GESTION_SCADA                  | [Num] 16    | [Tipo API] GlobalDB     | [Ruta] 15_Scada
[Nombre] DB1600_PREP_FERM_401                | [Num] 1600  | [Tipo API] GlobalDB     | [Ruta] 1600_Fermentador401\1600_Proceso
[Nombre] DB1605_PREP_FERM_402                | [Num] 1605  | [Tipo API] GlobalDB     | [Ruta] 1605_Fermentador402\1605_Proceso
[Nombre] DB1610_PREP_FERM_403                | [Num] 1610  | [Tipo API] GlobalDB     | [Ruta] 1610_Fermentador403\1610_Proceso
[Nombre] DB1705_PWG_Z1_VA105                 | [Num] 1705  | [Tipo API] GlobalDB     | [Ruta] 1705_PWG Z1 VA105\1705_Proceso
[Nombre] DB1710_PWG_Z1_VM101                 | [Num] 1710  | [Tipo API] GlobalDB     | [Ruta] 1710_PWG Z1 VM101\1710_Proceso
[Nombre] DB1715_PWG_Z1_VB113                 | [Num] 1715  | [Tipo API] GlobalDB     | [Ruta] 1715_PWG Z1 VB113\1715_Proceso
[Nombre] DB1720_PWG_Z2_VA219                 | [Num] 1720  | [Tipo API] GlobalDB     | [Ruta] 1720_PWG Z2 VA219\1720_Proceso
[Nombre] DB1725_PWG_Z2_VM212                 | [Num] 1725  | [Tipo API] GlobalDB     | [Ruta] 1725_PWG Z2 VM212\1725_Proceso
[Nombre] DB1730_PWG_Z2_VA211                 | [Num] 1730  | [Tipo API] GlobalDB     | [Ruta] 1730_PWG Z2 VA211\1730_Proceso
[Nombre] DB1735_PWG_Z4_VA440_Z5              | [Num] 1735  | [Tipo API] GlobalDB     | [Ruta] 1735_PWG Z4 VA440_Z5\1735_Proceso
[Nombre] DB1740_PWG_Z4_VA440_Z6              | [Num] 1740  | [Tipo API] GlobalDB     | [Ruta] 1740_PWG Z4 VA440_Z6\1740_Proceso
[Nombre] DB1745_PWG_Z4_VA444                 | [Num] 1745  | [Tipo API] GlobalDB     | [Ruta] 1745_PWG Z4 VA444\1745_Proceso
[Nombre] DB1750_PWG_Z4_VA445                 | [Num] 1750  | [Tipo API] GlobalDB     | [Ruta] 1750_PWG Z4 VA445\1750_Proceso
[Nombre] DB1755_PWG_Z4_VA446                 | [Num] 1755  | [Tipo API] GlobalDB     | [Ruta] 1755_PWG Z4 VA446\1755_Proceso
[Nombre] DB1760_PWG_Z5_VB504                 | [Num] 1760  | [Tipo API] GlobalDB     | [Ruta] 1760_PWG Z5 VB504\1760_Proceso
[Nombre] DB1765_PWG_Z6_VB611                 | [Num] 1765  | [Tipo API] GlobalDB     | [Ruta] 1765_PWG Z6 VB611\1765_Proceso
[Nombre] DB1770_PWG_Z6_VAD620_T601           | [Num] 1770  | [Tipo API] GlobalDB     | [Ruta] 1770_PWG Z6 VAD620_T601\1770_Proceso
[Nombre] DB1775_PWG_Z9_VB909                 | [Num] 1775  | [Tipo API] GlobalDB     | [Ruta] 1775_PWG Z9 VB909\1775_Proceso
[Nombre] DB1780_SPSW_Z4_VA443_Z5             | [Num] 1780  | [Tipo API] GlobalDB     | [Ruta] 1780_SPSW Z4 VA443_Z5\1780_Proceso
[Nombre] DB1785_SPSW_Z4_VA443_Z6             | [Num] 1785  | [Tipo API] GlobalDB     | [Ruta] 1785_SPSW Z4 VA443_Z6\1785_Proceso
[Nombre] DB1790_PWG_Z6_VAD620_T602           | [Num] 1790  | [Tipo API] GlobalDB     | [Ruta] 1790_PWG Z6 VAD620_T602\1790_Proceso
[Nombre] DB1800_ENJ_WALDNER                  | [Num] 1800  | [Tipo API] GlobalDB     | [Ruta] 1800_EnjuagueWaldner\1800 Proceso
[Nombre] DB1990_ENV_TQ_MOVIL_WALDNER         | [Num] 1990  | [Tipo API] GlobalDB     | [Ruta] 1990_EnvioTqMovilWaldner_PROVISIONAL\1990 Proceso
[Nombre] DB2_DeviceState_PN                  | [Num] 2     | [Tipo API] GlobalDB     | [Ruta] 0_Sistema
[Nombre] DB2000_ED                           | [Num] 2000  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2001_EA                           | [Num] 2001  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2005_SD                           | [Num] 2005  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2006_SA                           | [Num] 2006  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2010_V                            | [Num] 2010  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2015_M                            | [Num] 2015  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2016_M_VF                         | [Num] 2016  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2017_M_SINA                       | [Num] 2017  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2018_INST_M_SINA                  | [Num] 2018  | [Tipo API] InstanceDB   | [Ruta] 2000_Dispositivos
[Nombre] DB2025_TOT                          | [Num] 2025  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2026_FF                           | [Num] 2026  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2027_FF_SEC                       | [Num] 2027  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2028_TON                          | [Num] 2028  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2029_TOF                          | [Num] 2029  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2030_TONR                         | [Num] 2030  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2031_TP                           | [Num] 2031  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2035_PID                          | [Num] 2035  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2037_MEDIA                        | [Num] 2037  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2038_MEDIA_VOLUMEN                | [Num] 2038  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2039_TQ                           | [Num] 2039  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2045_TQ_AE                        | [Num] 2045  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB3_CHECKSUM                        | [Num] 3     | [Tipo API] InstanceDB   | [Ruta] 0_Sistema
[Nombre] DB3200_PREAL_GNL                    | [Num] 3200  | [Tipo API] GlobalDB     | [Ruta] 3200_ParametrosGenerales
[Nombre] DB3201_PINT_GNL                     | [Num] 3201  | [Tipo API] GlobalDB     | [Ruta] 3200_ParametrosGenerales
[Nombre] DB3500_CIP1_PREAL                   | [Num] 3500  | [Tipo API] GlobalDB     | [Ruta] 500_CIP1\3500_Parametros
[Nombre] DB3501_CIP1_PINT                    | [Num] 3501  | [Tipo API] GlobalDB     | [Ruta] 500_CIP1\3500_Parametros
[Nombre] DB3502_CIP1_RUTAS_PREAL             | [Num] 3502  | [Tipo API] GlobalDB     | [Ruta] 500_CIP1\3500_Parametros
[Nombre] DB3503_CIP1_RUTAS_PINT              | [Num] 3503  | [Tipo API] GlobalDB     | [Ruta] 500_CIP1\3500_Parametros
[Nombre] DB4000_PREAL                        | [Num] 4000  | [Tipo API] GlobalDB     | [Ruta] 1000_EnvioEsterilizadorEstandarizador\4000_Parametros
[Nombre] DB4001_PINT                         | [Num] 4001  | [Tipo API] GlobalDB     | [Ruta] 1000_EnvioEsterilizadorEstandarizador\4000_Parametros
[Nombre] DB4015_PREAL                        | [Num] 4015  | [Tipo API] GlobalDB     | [Ruta] 1015_EnvioEsterilizadorPasto\4015_Parametros
[Nombre] DB4016_PINT                         | [Num] 4016  | [Tipo API] GlobalDB     | [Ruta] 1015_EnvioEsterilizadorPasto\4015_Parametros
[Nombre] DB4020_PREAL                        | [Num] 4020  | [Tipo API] GlobalDB     | [Ruta] 1020_EnvioEstandarizadorPasto\4020_Parametros
[Nombre] DB4021_PINT                         | [Num] 4021  | [Tipo API] GlobalDB     | [Ruta] 1020_EnvioEstandarizadorPasto\4020_Parametros
