=========================================================
             VOLCADO DE CACHÉ DE TIA PORTAL              
=========================================================
Fecha de volcado: 28/03/2026 10:37:25
PLC: ZC_PLC_STD
Total Bloques: 150 | Total Tablas: 8 | Total UDTs: 91
=========================================================

=== BLOQUES (OB/FC/FB/DB) ===
[Nombre] _borrar                             | [Num] 59998 | [Tipo API] GlobalDB     | [Ruta] Root
[Nombre] FB15200_ZC_SYNC_RECETA_PANEL        | [Num] 15200 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15990_ZC_FAT_DI                   | [Num] 15990 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15991_ZC_FAT_DO                   | [Num] 15991 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15992_ZC_FAT_AI                   | [Num] 15992 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15993_ZC_FAT_AO                   | [Num] 15993 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15994_ZC_INICIALIZAR_DISP         | [Num] 15994 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB15995_ZC_BUSCAR_DIR               | [Num] 15995 | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB2017_ZC_M_SINA                    | [Num] 2017  | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FB3_ZC_CHECKSUM                     | [Num] 3     | [Tipo API] FB           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC1_ZC_SISTEMA                      | [Num] 1     | [Tipo API] FC           | [Ruta] ZC_Controles\1_Documentado
[Nombre] FC100_CPR_PRINCIPAL                 | [Num] 100   | [Tipo API] FC           | [Ruta] 100_Compacto\100_Principal
[Nombre] FC101_CPR_PROCESO                   | [Num] 101   | [Tipo API] FC           | [Ruta] 100_Compacto\101_Proceso
[Nombre] FC102_CPR_AUXILIARES                | [Num] 102   | [Tipo API] FC           | [Ruta] 100_Compacto\101_Proceso
[Nombre] FC103_CPR_TRANSICIONES              | [Num] 103   | [Tipo API] FC           | [Ruta] 100_Compacto\101_Proceso
[Nombre] FC104_CPR_ORDENES                   | [Num] 104   | [Tipo API] FC           | [Ruta] 100_Compacto\101_Proceso
[Nombre] FC11_ZC_GESTOR_INFORMES             | [Num] 11    | [Tipo API] FC           | [Ruta] ZC_Controles\1_Documentado
[Nombre] FC12_ZC_INFORME_REGISTRO            | [Num] 12    | [Tipo API] FC           | [Ruta] ZC_Controles\1_Documentado
[Nombre] FC15_SINCRONIZAR_FECHA_SCADA        | [Num] 20    | [Tipo API] FC           | [Ruta] 20_Scada
[Nombre] FC15_ZC_GEST_PREAL                  | [Num] 15    | [Tipo API] FC           | [Ruta] ZC_Controles\1_Documentado
[Nombre] FC15000_ZC_INT_TO_TIME              | [Num] 15000 | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC15001_ZC_INT_TO_STRING            | [Num] 15001 | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC15003_ZC_REAL_TO_STRING           | [Num] 15003 | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC15005_ZC_DTL_TO_ZC_FECHA          | [Num] 15005 | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC15006_ZC_DTL_TO_STRING            | [Num] 15006 | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC15025_ZC_CONTADOR_TIEMPO          | [Num] 15025 | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC15026_ZC_PULSADOR                 | [Num] 15026 | [Tipo API] FC           | [Ruta] ZC_Controles\1_Documentado
[Nombre] FC15027_ZC_CONTADOR_MINUTOS         | [Num] 15027 | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC15103_ZC_CALCULO_RAMPA            | [Num] 15103 | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC15106_ZC_GESTION_LISTA            | [Num] 15106 | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC15151_ZC_MARCHA_PARO_SEC          | [Num] 15151 | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC16_GESTION_SCADA                  | [Num] 21    | [Tipo API] FC           | [Ruta] 20_Scada
[Nombre] FC16_ZC_GEST_PINT                   | [Num] 16    | [Tipo API] FC           | [Ruta] ZC_Controles\1_Documentado
[Nombre] FC2000_ZC_ED                        | [Num] 2000  | [Tipo API] FC           | [Ruta] ZC_Controles\2_RevisadoPendienteDoc
[Nombre] FC2001_ZC_EA                        | [Num] 2001  | [Tipo API] FC           | [Ruta] ZC_Controles\2_RevisadoPendienteDoc
[Nombre] FC2005_ZC_SD                        | [Num] 2005  | [Tipo API] FC           | [Ruta] ZC_Controles\2_RevisadoPendienteDoc
[Nombre] FC2006_ZC_SA                        | [Num] 2006  | [Tipo API] FC           | [Ruta] ZC_Controles\2_RevisadoPendienteDoc
[Nombre] FC2010_ZC_V                         | [Num] 2010  | [Tipo API] FC           | [Ruta] ZC_Controles\2_RevisadoPendienteDoc
[Nombre] FC2015_ZC_M                         | [Num] 2015  | [Tipo API] FC           | [Ruta] ZC_Controles\2_RevisadoPendienteDoc
[Nombre] FC2016_ZC_M_VF                      | [Num] 2016  | [Tipo API] FC           | [Ruta] ZC_Controles\2_RevisadoPendienteDoc
[Nombre] FC2025_ZC_TOT                       | [Num] 2025  | [Tipo API] FC           | [Ruta] ZC_Controles\2_RevisadoPendienteDoc
[Nombre] FC2026_ZC_FF                        | [Num] 2026  | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC2027_ZC_FF_SEC                    | [Num] 2027  | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC2035_ZC_PID                       | [Num] 2035  | [Tipo API] FC           | [Ruta] ZC_Controles\2_RevisadoPendienteDoc
[Nombre] FC2036_ZC_PID_MUX                   | [Num] 2036  | [Tipo API] FC           | [Ruta] ZC_Controles\2_RevisadoPendienteDoc
[Nombre] FC2037_ZC_MEDIA                     | [Num] 2037  | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC2038_ZC_MEDIA_VOLUMEN             | [Num] 2038  | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC2039_ZC_TQ                        | [Num] 2039  | [Tipo API] FC           | [Ruta] ZC_Controles\2_RevisadoPendienteDoc
[Nombre] FC2045_ZC_TQ_AE                     | [Num] 2045  | [Tipo API] FC           | [Ruta] ZC_Controles\2_RevisadoPendienteDoc
[Nombre] FC2926_ZC_FF_INDV                   | [Num] 2926  | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC2927_ZC_FF_SEC_INDV               | [Num] 2927  | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC2928_ZC_TON_INDV                  | [Num] 2928  | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC2929_ZC_TOF_INDV                  | [Num] 2929  | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC2930_ZC_TONR_INDV                 | [Num] 2930  | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC2931_ZC_TP_INDV                   | [Num] 2931  | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC2932_ZC_FF_PARO_INDV              | [Num] 2932  | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC2937_ZC_MEDIA_INDV                | [Num] 2937  | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC2938_ZC_MEDIA_VOLUMEN_INDV        | [Num] 2938  | [Tipo API] FC           | [Ruta] ZC_Controles\4_Pendiente
[Nombre] FC3100_CPR_VIS_PARAM                | [Num] 3100  | [Tipo API] FC           | [Ruta] 100_Compacto\3100_Parametros
[Nombre] FC4_ZC_DISPONIBILIDAD_ENTIDAD       | [Num] 4     | [Tipo API] FC           | [Ruta] ZC_Controles\1_Documentado
[Nombre] FC5_ZC_GESTOR_PROCESO               | [Num] 5     | [Tipo API] FC           | [Ruta] ZC_Controles\1_Documentado
[Nombre] FC5100_CPR_GEST_ALM                 | [Num] 5100  | [Tipo API] FC           | [Ruta] 100_Compacto\5100_Alarmas
[Nombre] FC6_ZC_ESTADO_ENTIDAD               | [Num] 6     | [Tipo API] FC           | [Ruta] ZC_Controles\1_Documentado
[Nombre] FC7_ZC_GESTOR_TRAZA                 | [Num] 7     | [Tipo API] FC           | [Ruta] ZC_Controles\1_Documentado
[Nombre] FC8_ZC_TRAZA_REGISTRO               | [Num] 8     | [Tipo API] FC           | [Ruta] ZC_Controles\1_Documentado
[Nombre] FC9_GESTOR_DISPOSITIVOS             | [Num] 9     | [Tipo API] FC           | [Ruta] 9_Gestor_Dispositivos
[Nombre] OB1_MAIN                            | [Num] 1     | [Tipo API] OB           | [Ruta] Root
[Nombre] OB100_Startup                       | [Num] 100   | [Tipo API] OB           | [Ruta] 0_Sistema
[Nombre] OB121_ProgrammingError              | [Num] 121   | [Tipo API] OB           | [Ruta] 0_Sistema
[Nombre] OB122_IOAccessError                 | [Num] 122   | [Tipo API] OB           | [Ruta] 0_Sistema
[Nombre] OB30_PID_100MS                      | [Num] 30    | [Tipo API] OB           | [Ruta] Root
[Nombre] OB40_HardwareInterrupt              | [Num] 40    | [Tipo API] OB           | [Ruta] 0_Sistema
[Nombre] OB80_TimeErrorInterrupt             | [Num] 80    | [Tipo API] OB           | [Ruta] 0_Sistema
[Nombre] OB82_DiagnosticErrorInterrupt       | [Num] 82    | [Tipo API] OB           | [Ruta] 0_Sistema
[Nombre] OB83_PullOrPlugOfModules            | [Num] 83    | [Tipo API] OB           | [Ruta] 0_Sistema
